day,Close/Last,Volume,Open,High,Low
1,148.11,35195860,148.305,148.88,147.12
2,151.07,58301400,149.45,151.83,149.34
3,150.18,51804130,148.13,150.42,146.925
4,148.01,58724070,150.16,150.37,147.715
5,151.29,74829570,152.305,152.7,149.97
6,150.72,80389400,146.43,151.48,146.15
7,148.79,64218270,149.13,149.87,147.29
8,150.04,89868330,152.215,153.59,148.5613
9,148.28,73374110,148.97,150.28,147.43
10,149.7,93979670,145.82,150.01,144.37
11,146.87,118854000,141.24,146.87,139.5
12,134.87,74917790,138.5,138.55,134.5933
13,139.5,89908480,140.41,141.43,137.49
14,138.92,83374630,137.11,139.145,135.671
15,138.38,140814800,142.09,142.67,134.38
16,138.88,97918520,142.06,142.8,138.75
17,145.03,93604620,148.945,152.17,145
18,150.65,80379350,155.08,155.45,149.13
19,153.34,97943170,153.155,154.24,151.92
20,155.74,164762400,148.2,157.5,147.82
21,144.8,109180200,148.07,149.046,144.13
